,Toss,MatchID,Toss_Decision,Margin,Winner,Date,Venue,TeamA,TeamB,HTH,WinningPerDes,Strength,Latest_Form
174,England,750671,field,5 wickets,England,12/10/2011 20:14,Pallekele,England,Sri Lanka,0.25,0.333333333,12.74893939,4.802
175,New Zealand,742625,bat,7 runs,New Zealand,12/17/2014 0:00,Abu Dhabi,New Zealand,Pakistan,0.444444444,0.5,8.796634954,-2.231006342
176,Sri Lanka,750673,field,90 runs,Sri Lanka,12/13/2014 0:00,Pallekele,England,Sri Lanka,0.3,0.333333333,11.68772727,-0.844727273
177,New Zealand,742627,bat,68 runs,New Zealand,12/19/2014 0:00,Abu Dhabi,New Zealand,Pakistan,0.5,0.6,6.697998591,-2.231006342
178,Sri Lanka,434258,bat,7 wickets,Sri Lanka,1/4/2010 0:00,Dhaka,Bangladesh,Sri Lanka,0,0,2.176730092,0
179,Sri Lanka,750675,field,87 runs,Sri Lanka,12/16/2014 0:00,Colombo (RPS),England,Sri Lanka,0.2,0.5,4.645909091,-0.844727273
180,Sri Lanka,434259,bat,5 wickets,Sri Lanka,1/5/2010 0:00,Dhaka,India,Sri Lanka,0,0,2.633883016,-25.39763214
181,Pakistan,406202,field,5 wickets,Australia,1/22/2010 0:00,Brisbane,Australia,Pakistan,0,0,6.075725863,0
182,India,434263,bat,6 wickets,India,1/11/2010 0:00,Dhaka,Bangladesh,India,0,0,-9.830877378,-6.358625793
183,Sri Lanka,434261,bat,9 wickets,Sri Lanka,1/8/2010 0:00,Dhaka,Bangladesh,Sri Lanka,0,0,-2.204242424,-4.112875264
184,Sri Lanka,434262,field,8 wickets,India,1/10/2010 0:00,Dhaka,India,Sri Lanka,0,1,17.67466526,1.089305849
185,Sri Lanka,434264,bat,4 wickets,Sri Lanka,1/13/2010 0:00,Dhaka,India,Sri Lanka,0.5,0,5.313484848,2.406046512
186,Bangladesh,434260,bat,6 wickets,India,1/7/2010 0:00,Dhaka,Bangladesh,India,0,0,-3.668484848,-5.191395349
187,Pakistan,406203,bat,140 runs,Australia,1/24/2010 0:00,Sydney,Australia,Pakistan,1,0,7.846634954,3.354059197
188,Australia,406204,bat,40 runs,Australia,1/26/2010 0:00,Adelaide,Australia,Pakistan,1,0,19.35496829,3.744513742
189,Australia,406205,bat,135 runs,Australia,1/29/2010 0:00,Perth,Australia,Pakistan,1,0,13.33254405,4.357998591
190,West Indies,406193,field,8 wickets,Australia,2/9/2010 0:00,Adelaide,Australia,West Indies,1,0,5.973756166,9.767429175
191,West Indies,406192,bat,113 runs,Australia,2/7/2010 0:00,Melbourne,Australia,West Indies,0,0,3.682727273,31.33442283
192,Pakistan,406206,field,2 wickets,Australia,1/31/2010 0:00,Perth,Australia,Pakistan,1,0,21.6140592,4.499968288
193,New Zealand,423784,bat,5 wickets,New Zealand,2/8/2010 0:00,Dunedin,Bangladesh,New Zealand,0,0,-11.49663495,-3.331890063
194,New Zealand,423785,bat,3 wickets,New Zealand,2/11/2010 0:00,Christchurch,Bangladesh,New Zealand,0,0,-9.033301621,-2.423610994
195,New Zealand,423783,field,146 runs,New Zealand,2/5/2010 0:00,Napier,Bangladesh,New Zealand,0,0,-11.8770895,23.24543869
197,West Indies,406195,bat,50 runs,Australia,2/14/2010 0:00,Brisbane,Australia,West Indies,1,0,6.159242424,10.28897463
201,Australia,406196,bat,125 runs,Australia,2/19/2010 0:00,Melbourne,Australia,West Indies,1,1,17.81948203,9.346071882
202,South Africa,441827,bat,1 run,India,2/21/2010 0:00,Jaipur,India,South Africa,0,0,-6.968181818,29.47942918
203,India,441828,bat,153 runs,India,2/24/2010 0:00,Gwalior,India,South Africa,1,0,-7.903333333,2.288701903
204,South Africa,441829,field,90 runs,South Africa,2/27/2010 0:00,Ahmedabad,India,South Africa,1,0,-16.0069697,1.362350951
205,Australia,423791,bat,2 wickets,New Zealand,3/3/2010 0:00,Napier,Australia,New Zealand,0,1,6.7,5.291248767
206,England,426420,bat,6 wickets,England,2/28/2010 0:00,Dhaka,Bangladesh,England,0,0,0.253484848,22.66927273
