,Toss,MatchID,Toss_Decision,Margin,Winner,Date,Venue,TeamA,TeamB,HTH,WinningPerDes,Strength,Latest_Form
0,South Africa,514036,field,5 wickets,South Africa,1/14/2012 0:00,East London,South Africa,Sri Lanka,1,0,16.795,5.903260042
1,South Africa,514038,bat,5 wickets,Sri Lanka,1/20/2012 0:00,Kimberley,South Africa,Sri Lanka,1,0,4.058062016,5.903260042
2,South Africa,514035,bat,258 runs,South Africa,1/11/2012 0:00,Paarl,South Africa,Sri Lanka,0,0,15.27424242,5.903260042
3,Sri Lanka,514039,bat,2 wickets,Sri Lanka,1/22/2012 0:00,Johannesburg,South Africa,Sri Lanka,0.666666667,1,3.781395349,5.903260042
4,Zimbabwe,520592,bat,90 runs,New Zealand,2/3/2012 0:00,Dunedin,New Zealand,Zimbabwe,0.75,0,17.87330162,6.271260042
5,New Zealand,520594,bat,202 runs,New Zealand,2/9/2012 0:00,Napier,New Zealand,Zimbabwe,0.833333333,0.333333333,27.1372093,6.271260042
6,Sri Lanka,518957,field,4 wickets,India,2/8/2012 0:00,Perth,India,Sri Lanka,0.5,0.333333333,8.250757576,5.554955603
7,Australia,518959,bat,4 wickets,India,2/12/2012 0:00,Adelaide,Australia,India,0,0.666666667,4.923062016,0.571661734
8,Zimbabwe,520593,bat,141 runs,New Zealand,2/6/2012 0:00,Whangarei,New Zealand,Zimbabwe,0.8,0,19.71360465,6.271260042
10,England,531631,bat,130 runs,England,2/13/2012 0:00,Abu Dhabi,England,Pakistan,0.6,0,-3.702575758,3.744181818
11,Sri Lanka,518958,bat,5 runs,Australia,2/10/2012 0:00,Perth,Australia,Sri Lanka,0.571428571,0.5,20.81848485,6.126617336
12,England,531632,bat,20 runs,England,2/15/2012 0:00,Abu Dhabi,England,Pakistan,0.666666667,0.25,3.41969697,3.744181818
13,Pakistan,531633,field,9 wickets,England,2/18/2012 0:00,Dubai (DSC),England,Pakistan,0.714285714,0.333333333,-10.98939394,3.744181818
16,Australia,518962,bat,110 runs,Australia,2/19/2012 0:00,Brisbane,Australia,India,0,0.5,14.90897111,0.571661734
17,Sri Lanka,518963,field,51 runs,Sri Lanka,2/21/2012 0:00,Brisbane,India,Sri Lanka,0.5,0.4,-4.735789288,5.554955603
18,West Indies,661689,bat,159 runs,New Zealand,1/1/2014 0:00,Queenstown,New Zealand,West Indies,0.2,0,16.76830162,0.652084567
19,India,667641,field,24 runs,New Zealand,1/19/2014 0:00,Napier,India,New Zealand,0.857142857,0.666666667,-16.69087738,7.130980973
20,England,636159,field,6 wickets,Australia,1/12/2014 0:00,Melbourne,Australia,England,0.5,0.285714286,-3.681969697,7.767454545
21,New Zealand,661693,field,203 runs,West Indies,1/8/2014 0:00,Hamilton,New Zealand,West Indies,0.333333333,0.666666667,24.29166667,0.652084567
22,Pakistan,531634,field,4 wickets,England,2/21/2012 0:00,Dubai (DSC),England,Pakistan,0.75,0.428571429,2.975877378,3.744181818
23,England,636160,field,1 wicket,Australia,1/17/2014 0:00,Brisbane,Australia,England,0.5,0.375,10.13984848,7.767454545
24,England,636161,field,7 wickets,Australia,1/19/2014 0:00,Sydney,Australia,England,0.5,0.6,4.490606061,7.767454545
27,Australia,636162,field,57 runs,England,1/24/2014 0:00,Perth,Australia,England,0.5,0.428571429,3.761212121,7.767454545
29,India,667647,bat,7 wickets,New Zealand,1/28/2014 0:00,Hamilton,India,New Zealand,0.75,0.5,-22.44324524,7.130980973
30,Australia,636163,bat,5 runs,Australia,1/26/2014 0:00,Adelaide,Australia,England,0.5,0.428571429,11.49136364,7.767454545
33,India,667649,field,87 runs,New Zealand,1/31/2014 0:00,Wellington,India,New Zealand,0.666666667,0.666666667,-22.53481677,7.130980973
34,Sri Lanka,690359,bat,6 wickets,Sri Lanka,2/22/2014 0:00,Dhaka,Bangladesh,Sri Lanka,0,0.5,5.288030303,-0.893200846
35,Bangladesh,690355,field,13 runs,Sri Lanka,2/17/2014 0:00,Dhaka,Bangladesh,Sri Lanka,0,0.5,5.388907681,-0.893200846
36,Sri Lanka,690357,field,61 runs,Sri Lanka,2/20/2014 0:00,Dhaka,Bangladesh,Sri Lanka,0,0.5,-1.413333333,-0.893200846
38,New Zealand,520600,bat,6 wickets,South Africa,2/25/2012 0:00,Wellington,New Zealand,South Africa,1,0.5,-9.502727273,-2.1317463
39,Australia,518964,bat,3 wickets,Sri Lanka,2/24/2012 0:00,Hobart,Australia,Sri Lanka,0.625,1,15.53454545,6.126617336
40,Australia,518965,bat,87 runs,Australia,2/26/2012 0:00,Sydney,Australia,India,0.25,0.333333333,5.185637773,0.571661734
41,India,518966,field,7 wickets,India,2/28/2012 0:00,Hobart,India,Sri Lanka,0.5,0.5,-2.318668076,5.554955603
42,Sri Lanka,518967,field,9 runs,Sri Lanka,3/2/2012 0:00,Melbourne,Australia,Sri Lanka,0.555555556,0.5,6.730606061,6.126617336
43,South Africa,520602,bat,5 wickets,South Africa,3/3/2012 0:00,Auckland,New Zealand,South Africa,0.333333333,1,-11.09587738,-2.1317463
44,South Africa,520601,bat,6 wickets,South Africa,2/29/2012 0:00,Napier,New Zealand,South Africa,0.5,0.5,-5.816818182,-2.1317463
45,Australia,518969,bat,8 wickets,Sri Lanka,3/6/2012 0:00,Adelaide,Australia,Sri Lanka,0.6,0.5,13.88893939,6.126617336
46,Sri Lanka,518970,bat,16 runs,Australia,3/8/2012 0:00,Adelaide,Australia,Sri Lanka,0.5,0.4,13.08136364,6.126617336
47,Australia,518968,bat,15 runs,Australia,3/4/2012 0:00,Brisbane,Australia,Sri Lanka,0.5,0.666666667,-1.078181818,6.126617336
48,Bangladesh,535794,field,21 runs,Pakistan,3/11/2012 0:00,Dhaka,Bangladesh,Pakistan,0,0.4,-2.815151515,-1.531733615
49,Sri Lanka,535795,bat,50 runs,India,3/13/2012 0:00,Dhaka,India,Sri Lanka,0.5,0.6,11.06439394,5.554955603
50,Australia,540168,bat,64 runs,Australia,3/16/2012 0:00,Kingstown,Australia,West Indies,1,0.333333333,4.942424242,7.581175476
51,Bangladesh,535797,field,5 wickets,Bangladesh,3/16/2012 0:00,Dhaka,Bangladesh,India,0,0.4,14.31772727,-6.028871036
52,Sri Lanka,535796,field,6 wickets,Pakistan,3/15/2012 0:00,Dhaka,Pakistan,Sri Lanka,0.714285714,0.3,1.217424242,1.057818182
53,Pakistan,535798,field,6 wickets,India,3/18/2012 0:00,Dhaka,India,Pakistan,1,0.5,-12.82575758,4.497137421
54,Australia,540171,field,42 runs,West Indies,3/23/2012 0:00,Gros Islet,Australia,West Indies,1,1,-5.90969697,7.581175476
55,West Indies,540172,bat,30 runs,Australia,3/25/2012 0:00,Gros Islet,Australia,West Indies,0.833333333,0.333333333,-5.756818182,7.581175476
56,Bangladesh,535800,field,2 runs,Pakistan,3/22/2012 0:00,Dhaka,Bangladesh,Pakistan,0,0.5,2.680757576,-1.531733615
57,Sri Lanka,710291,field,12 runs,Sri Lanka,2/25/2014 0:00,Fatullah,Pakistan,Sri Lanka,0.5,1,8.764545455,1.628
58,India,710293,bat,6 wickets,India,2/26/2014 0:00,Fatullah,Bangladesh,India,0.2,0.5,12.75166667,-7.421175476
60,Pakistan,710301,bat,1 wicket,Pakistan,3/2/2014 0:00,Dhaka,India,Pakistan,0.666666667,0.5,-23.15924242,4.89997463
61,Sri Lanka,710297,bat,2 wickets,Sri Lanka,2/28/2014 0:00,Fatullah,India,Sri Lanka,0.8,0.5,-8.183787879,6.52797463
62,England,636534,field,3 wickets,England,3/2/2014 0:00,North Sound,England,West Indies,0.666666667,0.25,9.52269556,0.410363636
64,Bangladesh,710305,bat,3 wickets,Pakistan,3/4/2014 0:00,Dhaka,Bangladesh,Pakistan,0,0.6,0.477998591,-2.521200846
65,England,636533,field,15 runs,West Indies,2/28/2014 0:00,North Sound,England,West Indies,1,0.333333333,3.583939394,0.410363636
68,West Indies,636535,bat,25 runs,England,3/5/2014 0:00,North Sound,England,West Indies,0.75,0.6,15.14102889,0.410363636
70,Pakistan,710311,bat,5 wickets,Sri Lanka,3/8/2014 0:00,Dhaka,Pakistan,Sri Lanka,0.4,0.4,0.164848485,1.628
73,Bangladesh,710309,bat,3 wickets,Sri Lanka,3/6/2014 0:00,Dhaka,Bangladesh,Sri Lanka,0,0.5,-4.097152925,-0.893200846
77,Sri Lanka,562440,field,76 runs,Sri Lanka,6/9/2012 0:00,Pallekele,Pakistan,Sri Lanka,0.75,0.5,1.502544045,1.057818182
78,Sri Lanka,562442,field,44 runs,Sri Lanka,6/16/2012 0:00,Colombo (RPS),Pakistan,Sri Lanka,0.666666667,0.75,-0.843150106,1.057818182
